Variable,N,Mean,SD,Median,P25,P75,Min,Max
Daily requests,"29,084","82,280.9","314,691.1","2,849.5",224.0,"31,939.8",1.0000,"9,938,457"
Prompt tokens,"29,084","1,460,608,210.5","9,577,198,994.4","13,867,290.5","809,694.5","188,026,574.8",0.0000,"258,013,484,233"
Completion tokens,"29,084","38,140,817.1","197,529,233.0","851,700.0","56,883.2","9,237,032.8",0.0000,"10,590,941,246"
Total tokens,"29,084","1,498,749,027.6","9,679,405,790.0","17,032,348.5","1,014,702.8","206,738,984.0",0.0000,"259,762,023,017"
Reasoning tokens,"29,084","15,012,515.5","123,242,220.2",0.0000,0.0000,"277,238.8",0.0000,"4,542,862,845"
Cached tokens,"29,084","966,913,476.8","7,591,745,522.5",0.0000,0.0000,"19,043,581.2",0.0000,"225,002,190,269"
Tool calls,"29,084","16,453.8","120,686.2",0.0000,0.0000,375.0,0.0000,"3,905,886"
Tokens per request,"29,084","12,953.7","21,622.1","5,482.2","2,213.5","13,591.5",0.0000,"602,801"
Reasoning share,"28,880",0.0421,0.1393,0.0000,0.0000,0.0042,0.0000,1
Cache share,"28,880",0.1723,0.2699,0.0000,0.0000,0.3048,0.0000,1
Tool call rate,"29,084",0.1069,0.2267,0.0000,0.0000,0.0556,0.0000,1.0000
