rel_time,mean_effect,se_effect,n_obs
-14,0.07240291920997809,0.21792203613879174,95
-13,-0.2624458176338615,0.1782906718605392,95
-12,-0.1903009002433315,0.163220651533983,96
-11,-0.2858997353387514,0.17438978290839952,96
-10,-0.22438747966770545,0.16188156124077252,96
-9,0.0038385799714733943,0.13965108998422324,98
-8,-0.060873788187811334,0.15594107330957202,98
-7,0.09088721367190632,0.13445855148289973,98
-6,-0.008435567254170568,0.13528890629014884,98
-5,-0.07452560352346581,0.14460074719872837,98
-4,-0.05557980996684969,0.1473137212617891,98
-3,-0.08537943124677419,0.1501028107335145,98
-2,-0.003930969862375696,0.14006636727694347,98
-1,-3.172065784643304e-17,0.033899314921976335,98
0,0.06641152254131995,0.10353147102891685,98
1,-0.03788202441696798,0.10748715354562574,98
2,-0.0632655184220628,0.15325304032258583,98
3,-0.2245331359473816,0.1440924963031571,98
4,-0.28490574671263524,0.13866075179419643,98
5,-0.11843285013998922,0.13695399451609397,97
6,-0.10442169362949842,0.13477367257024567,97
7,0.07768202185773058,0.14063558092530085,96
8,0.0043014632186280126,0.13448454313710342,95
9,0.021902852884543546,0.13383436550131939,87
10,-0.21820395019712663,0.13526855829991863,87
11,-0.18573934002198791,0.13182544278661654,87
12,0.07453237685453162,0.15456372124862044,87
13,-0.019913878009103818,0.15196142694058998,87
14,-0.21112690890123242,0.1342368553757117,86
15,-0.027406582355131208,0.17682339471218123,84
16,-0.11884428812067775,0.18151183385231956,84
17,-0.3243386530969616,0.16565331694228938,85
18,-0.16269235348078182,0.18550713161477,85
19,-0.16394416755898755,0.16553134139281014,86
20,0.013050840500011762,0.19305617494293645,85
21,-0.11809949623464344,0.18561571014262218,85
22,-0.015545303221465138,0.19613441823193295,86
23,0.01911745042722714,0.156571563450479,85
24,-0.05699519695796241,0.16629607926225254,84
25,-0.21221348443594704,0.1568534898340709,85
26,-0.19699846765650478,0.17338921004665248,85
27,0.06077874665844797,0.1770877150904313,40
28,0.08023191610019277,0.18345467963354548,40
29,0.01736911147596607,0.18846238554724787,40
30,-0.1785102069796106,0.13374280543700395,40
